OBJECTID,SYSTEM,MONTHDAY_INSTALLED,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,Shape__Area,Shape__Length
91,GSWI,6_29,2020,ACT,PWD,2,,684e943f-6798-4836-91ed-bf30f7e54744,,55.5234375,40.0449906341942
92,GSWI,6_29,2020,ACT,PWD,2,,4e0460ad-0a38-4d4d-988c-2845dc0d6e6f,,53.1328125,35.6697174308545
93,GSWI,6_29,2020,ACT,PWD,2,,d19ad254-a074-4d46-b4ea-8364bc5e9b7b,,74.9609375,46.0785669029632
94,GSWI,3_7,2022,ACT,PWD,2,,7715d222-7e88-4680-b32b-d3c9d071cb1c,,44.30078125,29.1291251606981
95,GSWI,3_7,2022,ACT,PWD,2,,ee096127-ed8f-4064-a624-96e8f4df849f,,39.4765625,26.9308158015492
96,GSWI,3_7,2022,ACT,PWD,2,,c96de46e-517a-4ed1-8654-68544208f961,,63.3984375,40.7344686423744
97,GSWI,7_15,2021,ACT,PWD,2,,21e4fef3-d248-445e-a7aa-f641cd47a094,,64.54296875,63.0726898712535
98,GSWI,7_15,2021,ACT,PWD,2,,a8cc80d6-67d2-4326-bb97-7bb63b20753e,,31.4296875,31.6121619868162
99,GSWI,7_15,2021,ACT,PWD,2,,45264c12-a3bd-48fd-9a75-39b3940df92a,,66.2421875,75.0770170637154
100,GSWI,7_15,2021,ACT,PWD,2,,e3a0e6f8-129a-4f61-a5b2-81a6cf2f00b8,,182.28515625,93.3112245682059
101,GSWI,7_15,2021,ACT,PWD,2,,3fc254ea-eed0-4c1a-bc2d-b75fbb2bd954,,38.328125,26.9493648190534
102,GSWI,12_14,2020,ACT,PWD,2,,9b9e4c78-ef14-4741-8c6b-6f2100b7453b,,25.19921875,26.0430435776046
103,GSWI,12_14,2020,ACT,PWD,2,,dbf7f485-e530-4a09-9bb5-413928cee882,,25.1171875,26.0209301512546
104,GSWI,,,PRP,PWD,2,,48743ec9-3101-4193-9891-dfb7cc59fec4,,41.33203125,31.3539790136831
105,GSWI,,,PRP,PWD,2,,d3ae8440-01d9-4c58-b594-cb64fa403cdf,,39.328125,30.3148620060444
106,GSWI,,,PRP,PWD,2,,8c988948-3e8a-4730-af55-5a7f35d39d77,,28.6328125,32.366057180779
107,GSWI,,,PRP,PWD,2,,6bee5629-046d-4b06-a7d8-12b889a21396,,46.953125,37.2215142179317
108,GSWI,,,PRP,PWD,2,,9383c31c-7d87-47c1-80f4-785b8d55555e,,40.31640625,32.9093071144939
